center      name       ll          lr          cl          cr          rl          rr     
4444.21     VI         4444.00     4444.12     4444.14     4444.29     4444.34     4444.46
4451.59     MnI        4451.20     4451.40     4451.50     4451.70     4452.20     4452.40
4452.01     VI         4451.20     4451.40     4451.90     4452.10     4452.20     4452.40
4454.39     FeI        4453.95     4454.10     4454.25     4454.50     4456.80     4456.90
4455.32     TiI+MnI    4453.95     4454.10     4455.20     4455.45     4455.50     4455.65
4455.89     CaI        4455.50     4455.70     4455.86     4455.94     4456.10     4456.25
4457.50     MnI+VI     4457.20     4457.30     4457.40     4457.60     4457.63     4457.71
4459.76     VI         4459.50     4459.60     4459.70     4459.85     4459.90     4460.00
4460.30     VI         4459.99     4460.05     4460.23     4460.39     4460.55     4460.63
4461.66     FeI        4461.43     4461.49     4461.59     4461.73     4461.85     4461.91
4466.57     FeI        4465.90     4466.05     4466.50     4466.65     4467.05     4467.20
4468.50     TiII       4468.10     4468.30     4468.40     4468.60     4468.80     4469.00
4472.76     FeI        4472.00     4472.40     4472.67     4472.87     4473.20     4473.60
4482.18     FeI        4481.86     4481.94     4482.10     4482.26     4482.42     4482.50
4482.73     FeI        4482.50     4482.60     4482.63     4482.82     4483.00     4483.10
4489.74     FeI        4488.50     4488.75     4489.65     4489.85     4490.30     4490.45
4494.57     FeI        4493.70     4493.80     4494.46     4494.65     4495.10     4495.20
4496.86     CrI        4496.40     4496.60     4496.75     4497.00     4497.20     4497.40
4501.27     TiII       4500.80     4501.00     4501.20     4501.40     4501.50     4501.60
4512.74     TiI        4512.40     4512.60     4512.65     4512.85     4513.10     4513.30
4514.47     CrI        4513.80     4514.00     4514.30     4514.60     4514.85     4515.05
4518.03     TiI        4516.80     4517.00     4517.90     4518.20     4518.80     4519.00
4522.80     TiI        4522.20     4522.30     4522.72     4522.95     4523.15     4523.30
4528.62     FeI        4528.00     4528.20     4528.40     4528.90     4529.10     4529.30
4531.15     FeI        4530.20     4530.40     4531.06     4531.25     4531.40     4531.50
4533.25     TiI        4532.40     4532.60     4533.12     4533.35     4533.50     4533.70
4533.97     TiII       4533.50     4533.70     4533.86     4534.08     4534.30     4534.50
4534.78     TiI        4534.30     4534.50     4534.67     4534.90     4534.95     4535.05
4544.68     TiI        4544.20     4544.30     4544.55     4544.80     4544.80     4544.90
4545.35     CrI        4544.80     4544.90     4545.26     4545.48     4545.50     4545.70
4545.96     CrI        4545.50     4545.70     4545.80     4546.10     4546.20     4546.40
4549.63     TiII       4548.95     4549.10     4549.47     4549.85     4550.37     4550.58
4554.03     BaII       4553.50     4553.80     4553.90     4554.20     4554.60     4554.75
4563.76     TiII       4563.50     4563.60     4563.67     4563.89     4564.00     4564.10
4571.10     MgI        4570.86     4570.92     4571.04     4571.16     4571.28     4571.34
4571.98     TiII       4571.52     4571.59     4571.87     4572.14     4572.40     4572.60
4577.18     VI         4576.95     4577.01     4577.12     4577.25     4577.37     4577.43
4586.37     VI         4585.42     4585.54     4586.30     4586.50     4586.50     4586.80
