filename	bjd	rv	rvc	logS
HARPS.2007-01-13T08:26:32.135	2454113.84926	-22.121035540100003	-0.0012726351579672723	-1.39122742936
HARPS.2007-01-13T08:27:08.157	2454113.84967	-22.1228451817	-0.003082075592288902	-1.39559722676
HARPS.2007-01-13T08:27:44.158	2454113.8500900003	-22.1235021644	-0.0037388645771940787	-1.39596166626
HARPS.2007-01-13T08:28:20.190	2454113.85051	-22.1227187196	-0.002955226062098859	-1.39431446508
HARPS.2007-01-13T08:28:56.142	2454113.85092	-22.120882138800003	-0.0011184366458429906	-1.39472059324
HARPS.2007-01-13T08:29:32.144	2454113.85134	-22.121255649899997	-0.0014917316789997415	-1.3940755387000001
HARPS.2007-01-13T08:30:08.156	2454113.85176	-22.1205966223	-0.0008325178144872325	-1.39342079139
HARPS.2007-01-13T08:30:44.148	2454113.85217	-22.122759562600002	-0.0029952643993951256	-1.39286897912
HARPS.2007-01-13T08:31:20.200	2454113.8525900003	-22.122121378800003	-0.0023568794337194277	-1.39255361991
HARPS.2007-01-13T08:31:56.172	2454113.8530099997	-22.122383886599998	-0.002619200969199653	-1.3920808921099999
HARPS.2007-01-25T07:20:44.283	2454125.80432	-22.1248172699	0.0006426022861845126	-1.38432902025
HARPS.2007-01-25T07:21:20.294	2454125.80474	-22.124135859299997	0.0013242066012821851	-1.3814245007700001
HARPS.2007-01-25T07:21:56.306	2454125.80516	-22.124082586300002	0.0013777031186954503	-1.38339371634
HARPS.2007-01-25T07:24:20.294	2454125.80682	-22.1241081721	0.0013529145308197599	-1.3836238481999998
HARPS.2007-01-25T07:24:56.296	2454125.80724	-22.124299686399997	0.0011615939459197477	-1.38344092825
HARPS.2007-01-25T07:25:32.309	2454125.80766	-22.1248270148	0.0006344518104306474	-1.3834066078999998
HARPS.2007-03-02T07:03:33.391	2454161.7949900003	-22.142131761399998	0.0005039267856936647	-1.38648555962
HARPS.2007-03-02T07:04:09.783	2454161.79542	-22.142027528899998	0.0006083679019504018	-1.38676209813
HARPS.2007-03-02T07:04:45.774	2454161.7958400003	-22.142204921199998	0.00043116931704645367	-1.38649602408
HARPS.2007-03-02T07:05:21.767	2454161.79625	-22.143206240100003	-0.0005699633184441666	-1.391371925
HARPS.2007-03-02T07:05:57.819	2454161.79667	-22.1414362608	0.0012002022460748663	-1.3873777378
HARPS.2007-03-02T07:06:33.811	2454161.79709	-22.1409866068	0.0016500648623321013	-1.38714260861
HARPS.2007-03-02T07:07:09.763	2454161.7975	-22.141810204400002	0.0008266535268433017	-1.3850621187
HARPS.2007-03-02T07:07:45.774	2454161.7979200003	-22.1416763081	0.0009607658936836572	-1.3883240735
HARPS.2007-03-02T07:08:21.776	2454161.79834	-22.1426287383	8.55176051928197e-06	-1.38578974574
