# wavelength	depth
6549.50	0.19838
6552.93	0.02759
6553.51	0.22248
6553.68	0.02081
6554.67	0.08208
6558.06	0.13539
6559.03	0.06206
6561.38	0.06513
6561.98	0.04645
6563.33	0.02496
6564.41	0.06198
6564.94	0.02466
6564.98	0.02298
6565.09	0.14179
6569.65	0.02201
6569.73	0.04012
6572.96	0.14519
6575.74	0.22876
6580.04	0.02019
6581.68	0.07470
6584.17	0.02703
6584.40	0.03226
6584.43	0.03527
6586.64	0.02592
6587.39	0.08501
6587.56	0.04428
6587.59	0.03921
6595.27	0.04037
6600.21	0.06245
6603.03	0.03161
6606.44	0.02436
6606.46	0.02352
6613.35	0.02009
6613.44	0.03362
6835.43	0.02218
